"View As","Date","Scope 2","Scope 1","Scope 3","Offsets","Scope 2-12 Mth Avg","Scope 1-12 Mth Avg","Scope 3-12 Mth Avg","Offsets-12 Mth Avg","Scope 2Variance (%)","Scope 1Variance (%)","Scope 3Variance (%)","OffsetsVariance (%)","Scope 2- Variance (%)","Scope 1- Variance (%)","Scope 3- Variance (%)","Offsets- Variance (%)"
"CO2e  (t)","Oct 2022","5926.3927","2358.7863","0.3504","-30.279","6475.4458","2963.375","5.4028","-29.6739","-8.47","-20.4","-93.51","0","-8.47","-20.4","-93.51","0"
"CO2e  (t)","Nov 2022","5677.3697","5199.8082","0.7814","-29.5655","6409.8441","2977.5896","4.8049","-29.6063","-11.42","74.63","-83.73","0","-11.42","74.63","-83.73","0"
"CO2e  (t)","Dec 2022","5864.6763","2575.4999","0.7682","-30.9518","6296.3434","3030.1362","4.184","-29.2957","-6.85","-15","-81.63","0","-6.85","-15","-81.63","0"
"CO2e  (t)","Jan 2023","5920.9687","2805.8818","0.4174","-28.7325","6330.0299","3063.4692","3.5306","-29.1383","-6.46","-8.4","-88.17","0","-6.46","-8.4","-88.17","0"
"CO2e  (t)","Feb 2023","6416.3337","2349.5681","0.377","-26.3244","6428.1075","3030.7126","2.9433","-29.2159","-0.18","-22.47","-87.19","0","-0.18","-22.47","-87.19","0"
"CO2e  (t)","Mar 2023","6208.9597","2843.2645","0.4174","-28.9013","6344.9855","3080.8234","2.2923","-29.2432","-2.14","-7.71","-81.79","0","-2.14","-7.71","-81.79","0"
"CO2e  (t)","Apr 2023","7485.005","4372.9829","0.404","-27.7496","6448.5649","3149.7364","1.6631","-29.2698","16.07","38.83","-75.7","0","16.07","38.83","-75.7","0"
"CO2e  (t)","May 2023","7040.8577","3773.7211","0.0269","-32.4426","6369.3913","3198.0921","1.0098","-29.6322","10.54","17.99","-97.33","0","10.54","17.99","-97.33","0"
"CO2e  (t)","Jun 2023","5270.4646","2018.522","0","-27.7857","6218.782","3061.7693","0.3797","-29.3673","-15.24","-34.07","-100","0","-15.24","-34.07","-100","0"
"CO2e  (t)","Jul 2023","6190.7532","3330.9746","0","-29.8741","6264.5439","3059.2822","0.3515","-29.3587","-1.17","8.88","-100","0","-1.17","8.88","-100","0"
"CO2e  (t)","Aug 2023","6764.9061","2200.3505","0","-29.6217","6295.1351","2994.6676","0.3243","-29.2939","7.46","-26.52","-100","0","7.46","-26.52","-100","0"
"CO2e  (t)","Sep 2023","5489.4123","3990.2997","0","-28.2415","6188.0083","3151.6383","0.2952","-29.2058","-11.28","26.61","-100","0","-11.28","26.61","-100","0"